period_cat,V1,V2,V3,V4,V5,V6,V7
2,HZI-AgeExtendedSEIR,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR
2,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,CovidMetrics-epiBATS
2,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR
2,EuroCOVIDhub-baseline,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS
2,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,itwm-dSEIR
2,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,ILM-EKF,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt
2,EuroCOVIDhub-baseline,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert
2,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2
2,FIAS_FZJ-Epi1Ger,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2
2,IEM_Health-CovidProject,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,itwm-dSEIR
2,ILM-EKF,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,IEM_Health-CovidProject,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,itwm-dSEIR,CovidMetrics-epiBATS
2,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR
2,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_direct,itwm-dSEIR
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct
2,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct
2,HZI-AgeExtendedSEIR,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,itwm-dSEIR,CovidMetrics-epiBATS
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,itwm-dSEIR
2,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS
2,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,IEM_Health-CovidProject,Karlen-pypm,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,CovidMetrics-epiBATS
2,IEM_Health-CovidProject,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS
2,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ILM-EKF,MUNI-ARIMA,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR
2,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,itwm-dSEIR,CovidMetrics-epiBATS
2,EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR
