V1,V2,V3,V4,V5,V6,V7,period_cat,location,target_type
EuroCOVIDhub-baseline,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
FIAS_FZJ-Epi1Ger,ILM-EKF,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,2,DE,Cases
FIAS_FZJ-Epi1Ger,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
HZI-AgeExtendedSEIR,Karlen-pypm,MIT_CovidAnalytics-DELPHI,RobertWalraven-ESG,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,Karlen-pypm,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,itwm-dSEIR,2,DE,Cases
HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,HZI-AgeExtendedSEIR,ILM-EKF,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,2,DE,Cases
EuroCOVIDhub-baseline,ILM-EKF,ITWW-county_repro,Karlen-pypm,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,Karlen-pypm,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,IEM_Health-CovidProject,ITWW-county_repro,Karlen-pypm,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ILM-EKF,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
EuroCOVIDhub-baseline,Karlen-pypm,MIT_CovidAnalytics-DELPHI,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,itwm-dSEIR,2,DE,Cases
IEM_Health-CovidProject,ITWW-county_repro,MIT_CovidAnalytics-DELPHI,epiforecasts-EpiExpert,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,2,DE,Cases
HZI-AgeExtendedSEIR,ITWW-county_repro,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
FIAS_FZJ-Epi1Ger,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,FIAS_FZJ-Epi1Ger,ILM-EKF,ITWW-county_repro,Karlen-pypm,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
EuroCOVIDhub-baseline,HZI-AgeExtendedSEIR,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiNow2,CovidMetrics-epiBATS,2,DE,Cases
ILM-EKF,ITWW-county_repro,RobertWalraven-ESG,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
FIAS_FZJ-Epi1Ger,MUNI-ARIMA,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,itwm-dSEIR,CovidMetrics-epiBATS,2,DE,Cases
ITWW-county_repro,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,epiforecasts-EpiNow2,2,DE,Cases
EuroCOVIDhub-baseline,ITWW-county_repro,MUNI-ARIMA,UNIPV-BayesINGARCHX,epiforecasts-EpiExpert,epiforecasts-EpiExpert_Rt,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,IEM_Health-CovidProject,Karlen-pypm,MIT_CovidAnalytics-DELPHI,MUNI-ARIMA,epiforecasts-EpiExpert,epiforecasts-EpiNow2,2,DE,Cases
HZI-AgeExtendedSEIR,Karlen-pypm,MUNI-ARIMA,RobertWalraven-ESG,epiforecasts-EpiExpert_Rt,epiforecasts-EpiExpert_direct,CovidMetrics-epiBATS,2,DE,Cases
